Unique 15-Minute Block (UTC),Characters,Rank
2025-09-03_1_1,9268,1
2025-09-08_2_2,9017,2
2025-09-03_1_2,8901,3
2025-08-03_15_2,8894,4
2025-09-08_2_4,8820,5
2025-08-03_15_1,8778,6
2025-09-08_2_1,8656,7
2025-09-08_2_3,8625,8
2025-09-03_1_3,8372,9
2025-09-03_1_4,8324,10
2025-07-25_17_4,7869,11
2025-07-25_17_3,7274,12
2025-07-21_1_2,6489,13
2025-07-21_1_4,6205,14
2025-07-21_1_3,5696,15
2025-07-20_0_3,5492,16
2025-07-21_1_1,5481,17
2025-07-19_16_4,5440,18
2025-07-20_0_2,5319,19
2025-07-20_0_4,5270,20
2025-07-19_16_3,5112,21
2025-07-20_1_1,4917,22
2025-07-20_1_2,4682,23
2025-07-19_16_2,4391,24
2025-07-25_17_2,3737,25
2025-09-01_15_4,3510,26
2025-07-19_3_3,3326,27
2025-07-19_16_1,3244,28
2025-07-31_3_2,3039,29
2025-09-03_0_1,2965,30
2025-07-19_15_4,2851,31
2025-09-03_0_2,2683,32
2025-09-01_15_2,2516,33
2025-07-25_1_2,2341,34
2025-07-25_4_2,2274,35
2025-07-21_2_1,2158,36
2025-07-19_23_4,2100,37
2025-07-25_17_1,2091,38
2025-07-20_0_1,1944,39
2025-07-01_2_4,1902,40
2025-07-31_3_1,1882,41
2025-09-01_15_1,1737,42
2025-08-14_3_3,1645,43
2025-07-15_3_4,1644,44
2025-07-15_3_3,1554,45
2025-08-20_2_2,1457,46
2025-07-24_2_4,1451,47
2025-09-01_16_1,1418,48
2025-12-02_6_3,1407,49
2025-07-19_18_4,1400,50
