Unique Hour (UTC),Characters,Rank
2025-09-08_2,35774,1
2025-09-03_1,35424,2
2025-07-21_1,24204,3
2025-07-25_17,21119,4
2025-07-19_16,18398,5
2025-07-20_0,18329,6
2025-08-03_15,17926,7
2025-07-20_1,9899,8
2025-09-01_15,7763,9
2025-09-03_0,7049,10
2025-07-31_3,4921,11
2025-07-19_3,3326,12
2025-07-15_3,3198,13
2025-07-19_15,2851,14
2025-07-25_4,2708,15
2025-09-01_16,2450,16
2025-08-19_3,2405,17
2025-08-12_2,2402,18
2025-07-25_1,2341,19
2025-07-21_2,2158,20
2025-12-02_6,2111,21
2025-07-19_23,2100,22
2025-08-14_3,2037,23
2025-07-01_2,1902,24
2025-08-20_2,1836,25
2025-08-18_0,1725,26
2025-06-26_4,1685,27
2025-06-28_5,1620,28
2025-07-22_4,1617,29
2025-07-17_1,1579,30
2025-07-24_2,1451,31
2025-07-19_18,1400,32
2025-07-22_5,1387,33
2025-07-15_4,1381,34
2025-07-31_2,1380,35
2025-08-23_2,1271,36
2025-08-09_3,1241,37
2025-08-28_3,1225,38
2025-08-17_3,1152,39
2025-07-16_3,1088,40
2025-07-19_17,1000,41
2025-08-28_4,856,42
2025-07-01_4,812,43
2025-07-20_3,811,44
2025-07-31_4,751,45
2025-07-29_3,745,46
2025-08-05_4,707,47
2025-12-02_4,697,48
2025-07-07_2,691,49
2025-09-02_22,677,50
