Book_Num,Book,Total Characters,Typed Characters,% Typed
1,Genesis,197796,197796,100.0
2,Exodus,164747,56865,34.51656175833248
3,Leviticus,118145,155,0.1311947183545643
4,Numbers,163151,0,0.0
5,Deuteronomy,149163,737,0.49409035752834146
6,Joshua,99163,0,0.0
7,Judges,103107,0,0.0
8,Ruth,14071,0,0.0
9,1-Samuel,139492,434,0.31112895363174947
10,2-Samuel,113486,0,0.0
11,1-Kings,134405,0,0.0
12,2-Kings,127932,394,0.30797611230966454
13,1-Chronicles,114354,84,0.07345610997429036
14,2-Chronicles,147581,0,0.0
15,Ezra,41614,0,0.0
16,Nehemiah,59117,0,0.0
17,Tobit,38418,0,0.0
18,Judith,52583,0,0.0
19,Esther,48342,0,0.0
20,Job,99247,93,0.09370560319203604
21,Psalms,236962,0,0.0
22,Proverbs,85257,0,0.0
23,Ecclesiastes,30763,0,0.0
24,Song2,15058,0,0.0
25,Wisdom,59530,0,0.0
26,Sirach,172435,0,0.0
27,Isaiah,201831,0,0.0
28,Jeremiah,235349,0,0.0
29,Lamentations,19794,0,0.0
30,Baruch,27955,0,0.0
31,Ezekiel,214451,0,0.0
32,Daniel,84188,2274,2.701097543592911
33,Hosea,28600,0,0.0
34,Joel,11124,0,0.0
35,Amos,21919,0,0.0
36,Obadiah,3471,0,0.0
37,Jonah,6789,0,0.0
38,Micah,16724,0,0.0
39,Nahum,7210,0,0.0
40,Habakkuk,8310,0,0.0
41,Zephaniah,8820,0,0.0
42,Haggai,5977,0,0.0
43,Zechariah,33887,0,0.0
44,Malachi,9382,0,0.0
45,1-Maccabees,128683,0,0.0
46,2-Maccabees,92970,0,0.0
47,Matthew,126635,65,0.05132862162909148
48,Mark,80511,0,0.0
49,Luke,137859,0,0.0
50,John,102879,748,0.7270677203316518
51,Acts,135571,0,0.0
52,Romans,52886,253,0.47838747494611045
53,1-Corinthians,52047,0,0.0
54,2-Corinthians,33981,0,0.0
55,Galatians,17156,0,0.0
56,Ephesians,17033,0,0.0
57,Philippians,12321,0,0.0
58,Colossians,11373,0,0.0
59,1-Thessalonians,10427,0,0.0
60,2-Thessalonians,5821,0,0.0
61,1-Timothy,13324,0,0.0
62,2-Timothy,9469,0,0.0
63,Titus,5415,0,0.0
64,Philemon,2444,0,0.0
65,Hebrews,39525,300,0.7590132827324478
66,James,13053,0,0.0
67,1-Peter,13730,0,0.0
68,2-Peter,9072,0,0.0
69,1-John,13097,84,0.6413682522715126
70,2-John,1720,0,0.0
71,3-John,1747,0,0.0
72,Jude,3804,0,0.0
73,Revelation,64065,382,0.5962694138765317
74,Overall,4880318,260664,5.341127360962954
