Start Date (UTC),Characters,Rank
2025-09-03,42473,1
2025-09-08,36215,2
2025-07-20,29476,3
2025-07-19,29075,4
2025-07-25,26474,5
2025-07-21,26465,6
2025-08-03,18569,7
2025-09-01,10213,8
2025-07-31,7052,9
2025-07-15,5385,10
2025-07-22,3238,11
2025-08-19,2875,12
2025-07-01,2714,13
2025-08-12,2402,14
2025-08-14,2116,15
2025-08-28,2081,16
2025-06-28,2049,17
2025-08-20,1883,18
2025-06-26,1732,19
2025-08-18,1725,20
2025-07-17,1579,21
2025-08-17,1476,22
2025-07-24,1451,23
2025-08-23,1331,24
2025-08-09,1241,25
2025-12-02,1237,26
2025-07-16,1088,27
2025-07-29,745,28
2025-08-05,707,29
2025-07-07,691,30
2025-09-02,677,31
2025-08-02,606,32
2025-06-29,514,33
2025-08-30,508,34
2025-08-22,508,35
2025-08-07,437,36
2025-07-06,375,37
2025-08-06,368,38
2025-08-10,357,39
2025-07-18,355,40
2025-08-29,314,41
2025-08-21,176,42
