Word,Count,Typed Correctly,WPM,Error-free %
A,5,0.6,30.5253462,60.0
ADONAI,1,1.0,85.582905,100.0
AM,3,1.0,94.628334,100.0
Aaron,44,0.75,82.11372270454545,75.0
Abel,8,1.0,109.061305625,100.0
Abiasaph,1,0.0,55.29894,0.0
Abida,1,1.0,127.901301,100.0
Abihu,1,1.0,66.846684,100.0
Abimael,1,0.0,25.187765,0.0
Abimelech,19,0.7894736842105263,106.32088063157894,78.94736842105263
Abishua,2,0.5,78.302932,50.0
About,3,1.0,111.09183666666667,100.0
Abraham,101,0.8811881188118812,110.694303990099,88.11881188118812
Abram,47,0.8936170212765957,105.56334782978725,89.36170212765957
Abundance,1,1.0,141.943703,100.0
Accad,1,1.0,93.823711,100.0
Accepting,1,1.0,141.008214,100.0
According,2,1.0,166.93150300000002,100.0
Achbor,1,1.0,114.645598,100.0
Adad,1,0.0,37.910414,0.0
Adah,8,0.875,90.944118875,87.5
Adam,28,0.8928571428571429,104.29580953571428,89.28571428571429
Adbeel,1,0.0,50.617183,0.0
Admah,3,1.0,84.98577733333333,100.0
Adullamite,3,0.6666666666666666,79.80416933333333,66.66666666666666
Advancing,1,1.0,108.801476,100.0
After,20,0.9,84.2328397,90.0
Again,2,0.5,71.149074,50.0
Ahuzzath,1,1.0,88.910757,100.0
Aiah,1,1.0,57.287576,100.0
Akan,1,1.0,64.933929,100.0
All,24,0.7916666666666666,79.28038320833333,79.16666666666666
Almighty,6,0.6666666666666666,97.514907,66.66666666666666
Almodad,1,1.0,119.150418,100.0
Also,5,1.0,71.7016852,100.0
Alvah,1,1.0,84.379889,100.0
Alvan,1,1.0,93.912689,100.0
Am,2,1.0,77.4783365,100.0
Amalek,2,0.5,71.1445305,50.0
Amalekites,1,0.0,56.252933,0.0
Amen,4,1.0,112.0138565,100.0
Amminadab,1,0.0,47.611433,0.0
Ammon,1,1.0,139.277203,100.0
Ammonites,1,1.0,150.192526,100.0
Amorite,6,0.8333333333333334,134.21254683333333,83.33333333333334
Amorites,3,1.0,161.234318,100.0
Amram,3,0.3333333333333333,58.998870333333336,33.33333333333333
Amraphel,2,0.5,65.763037,50.0
An,2,0.5,47.697630000000004,50.0
Anah,7,0.5714285714285714,70.45219571428571,57.14285714285714
Anamim,1,1.0,81.278745,100.0
And,1368,0.9342105263157895,99.11773006578947,93.42105263157895
Aner,2,1.0,93.7096155,100.0
Angel,9,0.7777777777777778,106.62218466666667,77.77777777777779
Angels,4,0.75,94.478631,75.0
Apart,1,1.0,102.622832,100.0
Appoint,1,0.0,58.737144,0.0
Approach,1,0.0,28.420152,0.0
Aram,2,1.0,95.77954700000001,100.0
Aran,1,1.0,86.054148,100.0
Arba,2,0.5,76.3857735,50.0
Ard,1,1.0,100.092749,100.0
Are,3,1.0,108.88906266666667,100.0
Areli,1,1.0,97.719779,100.0
Arioch,2,1.0,103.89238549999999,100.0
Arise,7,0.5714285714285714,81.93116471428571,57.14285714285714
