Word,Count,WPM
a,519,261.89865053949904
each,24,237.27127274999998
ground,16,234.799644375
should,37,229.83879154054057
out,132,221.37957907575756
and,2327,220.00737582810487
their,164,216.70544009756097
things,69,216.07444968115942
our,71,214.20916494366196
great,57,208.9511895087719
created,40,208.4555271
the,3618,205.51583015450524
hail,16,203.6698788125
nothing,16,203.1064715
heard,38,202.23563997368421
hands,32,200.3707370625
into,147,199.88114578231293
able,47,199.59456529787232
would,65,197.93724832307694
greater,18,196.37783172222223
anything,23,196.30073826086957
thing,11,195.34092518181816
own,26,194.25899326923079
take,50,193.50439581999998
old,36,192.74186880555555
they,364,192.49059590659343
caused,15,192.2736002
make,26,191.9006756923077
death,25,191.80863944
found,38,188.72144407894737
other,19,188.30486005263157
this,240,188.00002805833336
mountain,12,187.65592558333333
your,481,187.27073595634093
days,72,186.951999875
grain,24,185.35622641666666
nations,15,184.43595273333332
order,33,184.3015926969697
said,471,184.01749996815286
house,84,183.8483747857143
there,140,183.6948209142857
about,31,182.76793870967742
neither,10,182.6546819
brought,53,182.16550967924528
lead,25,181.43170600000002
land,269,181.19391040520446
until,39,180.76038561538462
father,182,180.20847306593407
under,29,179.91270158620688
generations,20,179.73156935
than,28,179.65129117857143
brother,87,179.4580549770115
younger,11,179.2491389090909
region,20,178.83705075
eat,47,177.5703915319149
houses,19,177.1772375263158
going,12,177.03413158333333
being,32,176.66943040625
outside,14,176.19856564285715
is,295,176.06254778983052
these,106,175.78263698113207
earth,159,175.74321458490564
year,11,175.25037472727274
enter,14,174.94647642857143
while,13,174.68207138461537
hold,11,174.57194372727272
where,27,174.39449418518518
evening,18,174.0792495
light,51,173.7289330392157
head,15,173.52638413333335
speak,22,173.34053372727274
entered,32,173.1130459375
taken,23,173.07351769565219
she,200,173.007871065
who,174,172.91568631034482
dream,25,172.54670836000003
four,12,172.43556866666665
are,182,172.35991147802198
present,19,172.03296842105263
those,42,171.82378599999998
without,18,171.473548
naked,10,170.998747
perhaps,11,170.81801772727272
air,12,170.45521975
young,16,170.2900495625
completed,15,169.99246453333333
plants,10,169.922593
leader,44,169.73909706818182
spoken,11,169.18862527272725
soul,25,169.18520628
then,67,169.04972980597014
hand,89,168.85389074157303
another,40,168.70814485
since,14,168.657908
of,1835,168.32373459019072
within,12,167.83808125
rest,12,167.72055591666665
place,101,167.35616150495048
again,33,167.23569984848484
longer,14,166.9513812142857
whole,13,166.65420869230772
such,15,166.6169574
beyond,13,166.34182061538462
flock,17,166.21931747058824
elder,11,165.92516045454545
done,32,165.47118971875
field,29,165.35196962068966
together,38,165.30864228947368
along,26,165.2778153076923
face,42,165.26348542857144
on,163,165.15963171165646
voice,26,164.94125026923075
that,647,164.93882054404946
as,250,164.862148364
its,51,164.7362722352941
sons,259,164.66097513899612
second,15,164.62300306666666
find,21,164.46575380952382
ones,19,164.46108257894738
bring,23,164.2328300869565
have,262,164.20451159541986
heart,33,163.8797626969697
tent,17,163.42783547058824
placed,29,163.38659234482756
gathered,14,163.3798312857143
fields,10,163.24201720000002
night,33,163.16341993939395
when,204,162.97247230882354
you,922,162.92718769848156
know,52,162.62968365384614
bread,32,162.6042475625
years,103,162.5952801067961
afraid,24,162.19628016666667
sent,53,161.99520581132077
consume,11,161.95503654545453
it,337,161.75902800890208
in,770,161.6547920987013
entire,30,161.26298643333334
much,28,161.24702964285714
spoke,30,160.90078193333332
remained,12,160.88269075
held,14,160.85417257142856
an,48,160.78272845833334
die,30,160.68138846666668
ate,13,160.64073276923077
yet,14,160.6287352857143
whose,21,160.6027039047619
drink,21,160.51940809523808
themselves,11,160.35081790909092
buried,13,160.325279
or,30,160.29498053333333
live,28,160.246211
stand,11,160.24126836363638
coming,12,160.16491083333332
gold,11,160.105954
living,29,159.81021844827586
appeared,22,159.7181324090909
same,51,159.67724164705882
flesh,31,159.56211348387097
passed,26,158.98964223076925
back,31,158.77034967741935
down,41,158.58263119512196
departing,11,158.50944727272727
name,93,158.26365798924732
lest,19,158.21255557894736
seeing,17,158.02986005882354
away,81,157.41819624691357
say,58,157.30917306896552
died,31,157.2056211935484
if,61,156.92998159016392
names,10,156.8319436
us,100,156.80134701
lived,56,156.31834757142857
which,192,156.29862630208333
them,259,156.0228242200772
eyes,38,155.97961994736843
parts,10,155.9654807
day,97,155.96290191752578
fathers,20,155.92526905
through,41,155.8875796097561
mouth,17,155.75958976470588
from,432,155.68915939583334
for,288,155.54484987847223
having,44,155.5041900909091
sheep,43,155.37018630232558
daughter,50,155.25007312
mother,20,155.19518535
sea,12,154.9905625
sight,57,154.75444701754384
third,14,154.7395732142857
come,29,154.68169534482757
flying,11,154.57338436363636
among,46,154.48108204347827
work,23,154.4542491304348
both,32,154.3505588125
increase,14,153.9058320714286
may,150,153.88412775333333
toward,25,153.67748831999998
garments,13,153.56479384615383
reason,30,153.3574804666667
age,11,153.22891554545456
morning,28,152.56978146428574
cast,14,152.45877492857144
her,173,152.41475957225433
life,36,152.38830752777778
near,12,152.32928166666667
ark,26,152.29835246153846
swear,10,152.0425544
behind,18,151.89030083333333
against,42,151.7425569047619
was,515,151.61117007184464
lord,67,151.48684597014926
one,156,151.0455072179487
king,66,151.0415246969697
opened,11,150.71432845454544
flood,12,150.00566408333333
with,397,149.5269003274559
his,638,149.5152987554859
saying,106,149.2844428018868
am,65,149.20480995384617
responded,70,149.19868067142858
something,17,149.1536645882353
prison,10,149.0730135
offer,19,148.92454484210526
here,26,148.86584326923077
wine,12,148.73907225
just,57,148.70535017543858
divided,21,148.62259290476192
has,130,148.40841468461537
came,40,148.26582765
says,14,148.03793971428573
dead,17,147.93292805882353
rose,14,147.8248272857143
dust,12,147.79611416666668
everything,19,147.68197863157894
conceived,94,147.5293514787234
souls,11,147.178958
families,10,147.0739395
become,17,146.83709511764707
what,58,146.68258555172415
but,34,146.43325317647057
over,85,146.35874607058824
because,80,146.2509784
gave,59,146.15583781355932
more,19,146.04828531578949
Rachel,31,146.00651722580645
at,115,146.00635970434783
people,99,145.96739645454545
give,64,145.53257603125
army,10,145.48227939999998
way,44,145.2693350909091
departed,19,145.08162436842105
eaten,13,144.86938792307694
right,14,144.71530607142856
next,12,144.69458816666668
children,12,144.58121358333332
blessed,37,144.5273952972973
himself,27,144.49437992592593
sacrifice,24,144.20370470833333
were,239,144.10266067364017
took,71,144.0185854084507
