Verse_ID,OT_NT,Book,Book_Num,Chapter_Num,Verse_Num,Verse_Code,Verse,Characters,Former_Verse,Tests,Best_WPM,Verses_Match,similarity_ratio
1906,OT,Exodus,2,14,19,Exodus_14:19,"And the Angel of God, who preceded the camp of Israel, lifting himself up, went behind them. And the pillar of cloud, together with him, left the front for the rear",164,"And the Angel of God, who preceded the camp of Israel, lifting himself up, went behind them. And the pillar of cloud, together with him, left the front for the rear ",1,111.754279,0,100
2647,OT,Exodus,2,38,16,Exodus_38:16,All the hangings of the atrium were woven from fine twisted linen.,66,All the hangings of the atrium were woven from fine twisted linen. ,0,0.0,0,99
4152,OT,Numbers,4,15,5,Numbers_15:5,"and he shall give the same measure of wine, poured out as libations, whether as a holocaust or as a victim.",107,"and he shall give the same measure of wine, poured out as libations, whether as a holocaust or as a victim. ",0,0.0,0,100
5514,OT,Deuteronomy,5,23,19,Deuteronomy_23:19,"You shall not lend money, or grain, or anything else at all, to your brother at interest,",89,"You shall not lend money, or grain, or anything else at all, to your brother at interest, ",0,0.0,0,99
5970,OT,Joshua,6,6,24,Joshua_6:24,"Then they set fire to the city and all the things that were within it, except the gold and silver, and the vessels of brass or of iron, which they consecrated into the treasury of the Lord.",189,"Then they set fire to the city and all the things that were within it, except the gold and silver, and the vessels of brass or of iron, which they consecrated into the treasury of the Lord. ",0,0.0,0,100
6456,OT,Joshua,6,23,1,Joshua_23:1,"Now a long time passed, after the Lord had given peace to Israel by subjecting all the surrounding nations. And Joshua was now old and very advanced in age.",156,"Now a long time passed, after the Lord had given peace to Israel by subjecting all the surrounding nations. And Joshua was now old and very advanced in age. ",0,0.0,0,100
7312,OT,1-Samuel,9,4,20,1-Samuel_4:20,"Then, when she was near death, those who were standing around her said to her, ""You should not be afraid, for you have given birth to a son."" But she did not respond to them, and she did not notice them.",203,"Then, when she was near death, those who were standing around her said to her, ""You should not be afraid, for you have given birth to a son."" But she did not respond to them, and she did not notice them. ",0,0.0,0,100
7848,OT,1-Samuel,9,24,14,1-Samuel_24:14,"So too, it is said in the ancient proverb, 'From the impious, impiety will go forth.' Therefore, my hand will not be upon you.",126,"So too, it is said in the ancient proverb, 'From the impious, impiety will go forth.' Therefore, my hand will not be upon you. ",0,0.0,0,100
10270,OT,1-Chronicles,13,1,22,1-Chronicles_1:22,"and then Obal, and Abimael, and Sheba, indeed",45,"and then Obal, and Abimael, and Sheba, indeed ",0,0.0,0,99
12455,OT,Nehemiah,16,7,42,Nehemiah_7:42,"The sons of Harim, one thousand and seventeen.",46,"The sons of Harim, one thousand and seventeen. ",0,0.0,0,99
17400,OT,Proverbs,22,7,8,Proverbs_7:8,who crosses the street at the corner and close to the way of that house.,72,who crosses the street at the corner and close to the way of that house. ,0,0.0,0,99
18355,OT,Song2,24,1,1,Song2_1:1,Bride: May he kiss me with the kiss of his mouth.,49,<I>Bride:</I> May he kiss me with the kiss of his mouth.,0,0.0,0,93
18356,OT,Song2,24,1,2,Song2_1:2,"Groom to Bride: So much better than wine are your breasts, fragranced with the finest perfumes.",95,"<I>Groom to Bride:</I> So much better than wine are your breasts, fragranced with the finest perfumes. ",0,0.0,0,96
18357,OT,Song2,24,1,3,Song2_1:3,"Bride to Groom: Your name is oil that has been poured out; therefore, the maidens have loved you. Draw me forward.",114,"<I>Bride to Groom:</I> Your name is oil that has been poured out; therefore, the maidens have loved you. Draw me forward.",0,0.0,0,97
18358,OT,Song2,24,1,4,Song2_1:4,Chorus to Bride: We will run after you in the odor of your perfumes.,68,<I>Chorus to Bride:</I> We will run after you in the odor of your perfumes.,0,0.0,0,95
18359,OT,Song2,24,1,5,Song2_1:5,Bride to Chorus: The king has led me into his storerooms.,57,<I>Bride to Chorus:</I> The king has led me into his storerooms.,0,0.0,0,94
18360,OT,Song2,24,1,6,Song2_1:6,"Chorus to Bride: We will exult and rejoice in you, remembering your breasts above wine.",87,"<I>Chorus to Bride:</I> We will exult and rejoice in you, remembering your breasts above wine. ",0,0.0,0,96
18361,OT,Song2,24,1,7,Song2_1:7,Groom to Bride: The righteous love you.,39,<I>Groom to Bride:</I> The righteous love you.,0,0.0,0,92
18362,OT,Song2,24,1,8,Song2_1:8,"Bride to Chorus: O daughters of Jerusalem: I am black, but shapely, like the tabernacles of Kedar, like the tents of Solomon.",125,"<I>Bride to Chorus:</I> O daughters of Jerusalem: I am black, but shapely, like the tabernacles of Kedar, like the tents of Solomon.",0,0.0,0,97
18365,OT,Song2,24,1,11,Song2_1:11,"Bride to Groom: Reveal to me, you whom my soul loves, where you pasture, where you recline at midday, lest I begin to wander after the flocks of your companions.",161,"<I>Bride to Groom:</I> Reveal to me, you whom my soul loves, where you pasture, where you recline at midday, lest I begin to wander after the flocks of your companions.",0,0.0,0,98
18366,OT,Song2,24,1,12,Song2_1:12,"Groom to Bride: If you yourself do not know, O most beautiful among women, then go out and follow after the steps of the flocks, and pasture your young goats beside the tabernacles of the shepherds.",198,"<I>Groom to Bride:</I> If you yourself do not know, O most beautiful among women, then go out and follow after the steps of the flocks, and pasture your young goats beside the tabernacles of the shepherds.",0,0.0,0,98
18369,OT,Song2,24,1,15,Song2_1:15,"Chorus to Bride: We will fashion for you chains of gold, accented with reddened silver.",87,"<I>Chorus to Bride:</I> We will fashion for you chains of gold, accented with reddened silver.",0,0.0,0,96
18370,OT,Song2,24,1,16,Song2_1:16,"Bride to Chorus: While the king was taking his rest, my aromatic ointment sent forth its odor.",94,"<I>Bride to Chorus:</I> While the king was taking his rest, my aromatic ointment sent forth its odor.",0,0.0,0,96
18373,OT,Song2,24,1,19,Song2_1:19,"Groom to Bride: Behold, you are beautiful, O my love. Behold, you are beautiful. Your eyes are those of a dove.",111,"<I>Groom to Bride:</I> Behold, you are beautiful, O my love. Behold, you are beautiful. Your eyes are those of a dove.",0,0.0,0,97
18374,OT,Song2,24,1,20,Song2_1:20,"Bride to Groom: Behold, you are handsome, O my beloved, and graceful. Our bed is flourishing.",93,"<I>Bride to Groom:</I> Behold, you are handsome, O my beloved, and graceful. Our bed is flourishing.",0,0.0,0,96
18375,OT,Song2,24,1,21,Song2_1:21,Groom to Bride: The timbers of our houses are of cedar; our ceilings are of cypress.,84,<I>Groom to Bride:</I> The timbers of our houses are of cedar; our ceilings are of cypress.,0,0.0,0,96
18376,OT,Song2,24,2,1,Song2_2:1,Bride: I am a flower of the open field and a lily of the steep valleys.,71,<I>Bride:</I> I am a flower of the open field and a lily of the steep valleys.,0,0.0,0,95
18377,OT,Song2,24,2,2,Song2_2:2,"Groom: Like a lily among the thorns, so is my loved one among the daughters.",76,"<I>Groom:</I> Like a lily among the thorns, so is my loved one among the daughters.",0,0.0,0,96
18378,OT,Song2,24,2,3,Song2_2:3,"Bride to Chorus: Like an apple tree among the trees of the forest, so is my beloved among the sons. I sat beneath the shadow of the one whom I desired, and his fruit was sweet to my palate.",189,"<I>Bride to Chorus:</I> Like an apple tree among the trees of the forest, so is my beloved among the sons. I sat beneath the shadow of the one whom I desired, and his fruit was sweet to my palate.",0,0.0,0,98
18382,OT,Song2,24,2,7,Song2_2:7,"Groom to Chorus: I bind you by oath, O daughters of Jerusalem, by the does and the stags of the open field, not to disturb or awaken the beloved, even for as long as she wills.",176,"<I>Groom to Chorus:</I> I bind you by oath, O daughters of Jerusalem, by the does and the stags of the open field, not to disturb or awaken the beloved, even for as long as she wills.",0,0.0,0,98
18383,OT,Song2,24,2,8,Song2_2:8,"Bride to Chorus: The voice of my beloved! Behold, he arrives leaping along the mountains, jumping across the hills.",115,"<I>Bride to Chorus:</I> The voice of my beloved! Behold, he arrives leaping along the mountains, jumping across the hills.",0,0.0,0,97
18384,OT,Song2,24,2,9,Song2_2:9,My beloved is like a doe and like a young stag.,47,My beloved is like a doe and like a young stag. ,0,0.0,0,99
18387,OT,Song2,24,2,12,Song2_2:12,"Groom to Bride: Rise up, quickly, my love, my dove, my shapely one, and advance.",80,"<I>Groom to Bride:</I> Rise up, quickly, my love, my dove, my shapely one, and advance.",0,0.0,0,96
18392,OT,Song2,24,2,17,Song2_2:17,"Chorus to Groom and Bride: Capture for us the little foxes, which are tearing down the vines; for our vineyard has flourished.",126,"<I>Chorus to Groom and Bride:</I> Capture for us the little foxes, which are tearing down the vines; for our vineyard has flourished.",0,0.0,0,97
18393,OT,Song2,24,2,18,Song2_2:18,"Bride to Chorus: My beloved is for me, and I am for him. He pastures among the lilies, until the day rises and the shadows decline.",131,"<I>Bride to Chorus:</I> My beloved is for me, and I am for him. He pastures among the lilies, until the day rises and the shadows decline.",0,0.0,0,97
18394,OT,Song2,24,2,19,Song2_2:19,"Bride to Groom: Return, O my beloved. Be like a doe and like a young stag upon the mountains of Bether.",103,"<I>Bride to Groom:</I> Return, O my beloved. Be like a doe and like a young stag upon the mountains of Bether.",0,0.0,0,97
18395,OT,Song2,24,3,1,Song2_3:1,"Bride: On my bed, throughout the night, I sought him whom my soul loves. I sought him, and did not find him.",108,"<I>Bride:</I> On my bed, throughout the night, I sought him whom my soul loves. I sought him, and did not find him.",0,0.0,0,97
18399,OT,Song2,24,3,5,Song2_3:5,"Groom to Chorus: I bind you by oath, O daughters of Jerusalem, by the does and the stags of the open field, not to disturb or awaken the beloved, until she wills.",162,"<I>Groom to Chorus:</I> I bind you by oath, O daughters of Jerusalem, by the does and the stags of the open field, not to disturb or awaken the beloved, until she wills.",0,0.0,0,98
18400,OT,Song2,24,3,6,Song2_3:6,"Chorus to Groom: Who is she, who ascends through the desert, like a staff of smoke from the aromatics of myrrh, and frankincense, and every powder of the perfumer?",163,"<I>Chorus to Groom:</I> Who is she, who ascends through the desert, like a staff of smoke from the aromatics of myrrh, and frankincense, and every powder of the perfumer?",0,0.0,0,98
18401,OT,Song2,24,3,7,Song2_3:7,"Chorus to Bride: Lo, sixty strong ones, out of all the strongest in Israel, stand watch at the bed of Solomon,",110,"<I>Chorus to Bride:</I> Lo, sixty strong ones, out of all the strongest in Israel, stand watch at the bed of Solomon,",0,0.0,0,97
18403,OT,Song2,24,3,9,Song2_3:9,Bride to Chorus: King Solomon made himself a portable throne from the wood of Lebanon.,86,<I>Bride to Chorus:</I> King Solomon made himself a portable throne from the wood of Lebanon.,0,0.0,0,96
18406,OT,Song2,24,4,1,Song2_4:1,"Groom to Bride: How beautiful you are, my love, how beautiful you are! Your eyes are those of a dove, except for what is hidden within. Your hair is like flocks of goats, which ascend along the mountain of Gilead.",213,"<I>Groom to Bride:</I> How beautiful you are, my love, how beautiful you are! Your eyes are those of a dove, except for what is hidden within. Your hair is like flocks of goats, which ascend along the mountain of Gilead.",0,0.0,0,98
18422,OT,Song2,24,5,1,Song2_5:1,"Bride: May my beloved enter into his garden, and eat the fruit of his apple trees.",82,"<I>Bride:</I> May my beloved enter into his garden, and eat the fruit of his apple trees.",0,0.0,0,96
18423,OT,Song2,24,5,2,Song2_5:2,"Groom to Bride: I have arrived in my garden, O my sister, my spouse. I have harvested my myrrh, with my aromatic oils. I have eaten the honeycomb with my honey. I have drunk my wine with my milk. Eat, O friends, and drink, and be inebriated, O most beloved.",257,"<I>Groom to Bride:</I> I have arrived in my garden, O my sister, my spouse. I have harvested my myrrh, with my aromatic oils. I have eaten the honeycomb with my honey. I have drunk my wine with my milk. Eat, O friends, and drink, and be inebriated, O most beloved.",0,0.0,0,99
18424,OT,Song2,24,5,3,Song2_5:3,"Bride: I sleep, yet my heart watches. The voice of my beloved knocking:",71,"<I>Bride:</I> I sleep, yet my heart watches. The voice of my beloved knocking:",0,0.0,0,95
18425,OT,Song2,24,5,4,Song2_5:4,"Groom to Bride: Open to me, my sister, my love, my dove, my immaculate one. For my head is full of dew, and the locks of my hair are full of the drops of the night.",164,"<I>Groom to Bride:</I> Open to me, my sister, my love, my dove, my immaculate one. For my head is full of dew, and the locks of my hair are full of the drops of the night.",0,0.0,0,98
18426,OT,Song2,24,5,5,Song2_5:5,Bride: I have taken off my tunic; how shall I be clothed in it? I have washed my feet; how shall I spoil them?,110,<I>Bride:</I> I have taken off my tunic; how shall I be clothed in it? I have washed my feet; how shall I spoil them?,0,0.0,0,97
18432,OT,Song2,24,5,11,Song2_5:11,"Chorus to Bride: What kind of beloved is your beloved, O most beautiful among women? What kind of beloved is your beloved, so that you would bind us by oath?",157,"<I>Chorus to Bride:</I> What kind of beloved is your beloved, O most beautiful among women? What kind of beloved is your beloved, so that you would bind us by oath?",0,0.0,0,98
18433,OT,Song2,24,5,12,Song2_5:12,"Bride: My beloved is white and ruddy, elect among thousands.",60,"<I>Bride:</I> My beloved is white and ruddy, elect among thousands.",0,0.0,0,94
18440,OT,Song2,24,5,19,Song2_5:19,"Chorus to Bride: Where has your beloved gone, O most beautiful among women? To where has your beloved turned aside, so that we may seek him with you?",149,"<I>Chorus to Bride:</I> Where has your beloved gone, O most beautiful among women? To where has your beloved turned aside, so that we may seek him with you?",0,0.0,0,98
18441,OT,Song2,24,6,1,Song2_6:1,"Bride: My beloved has descended to his garden, to the courtyard of aromatic plants, in order to pasture in the gardens and gather the lilies.",141,"<I>Bride:</I> My beloved has descended to his garden, to the courtyard of aromatic plants, in order to pasture in the gardens and gather the lilies.",0,0.0,0,98
18443,OT,Song2,24,6,3,Song2_6:3,"Groom to Bride: My love, you are beautiful: sweet and graceful, like Jerusalem; terrible, like an army in battle array.",119,"<I>Groom to Bride:</I> My love, you are beautiful: sweet and graceful, like Jerusalem; terrible, like an army in battle array.",0,0.0,0,97
18449,OT,Song2,24,6,9,Song2_6:9,"Chorus to Groom: Who is she, who advances like the rising dawn, as beautiful as the moon, as elect as the sun, as terrible as an army in battle array?",150,"<I>Chorus to Groom:</I> Who is she, who advances like the rising dawn, as beautiful as the moon, as elect as the sun, as terrible as an army in battle array?",0,0.0,0,98
18450,OT,Song2,24,6,10,Song2_6:10,"Bride: I descended to the garden of nuts, in order to see the fruits of the steep valleys, and to examine whether the vineyard had flourished and the pomegranates had produced buds.",181,"<I>Bride:</I> I descended to the garden of nuts, in order to see the fruits of the steep valleys, and to examine whether the vineyard had flourished and the pomegranates had produced buds.",0,0.0,0,98
18452,OT,Song2,24,6,12,Song2_6:12,"Chorus to Bride: Return, return, O Sulamitess. Return, return, so that we may consider you.",91,"<I>Chorus to Bride:</I> Return, return, O Sulamitess. Return, return, so that we may consider you.",0,0.0,0,96
18453,OT,Song2,24,7,1,Song2_7:1,"Chorus to Groom: What will you see in the Sulamitess, other than choruses of encampments?",89,"<I>Chorus to Groom:</I> What will you see in the Sulamitess, other than choruses of encampments?",0,0.0,0,96
18454,OT,Song2,24,7,2,Song2_7:2,"Chorus to Bride: How beautiful are your footsteps in shoes, O daughter of a ruler! The joints of your thighs are like jewels, which have been fabricated by the hand of an artist.",178,"<I>Chorus to Bride:</I> How beautiful are your footsteps in shoes, O daughter of a ruler! The joints of your thighs are like jewels, which have been fabricated by the hand of an artist.",0,0.0,0,98
