Verse,OT_NT,Book,Book_Num,Chapter_Num,Verse_Num
"In the beginning, God created heaven and earth.",OT,Genesis,1,1,1
"But the earth was empty and unoccupied, and darknesses were over the face of the abyss; and so the Spirit of God was brought over the waters.",OT,Genesis,1,1,2
"And God said, ""Let there be light."" And light became.",OT,Genesis,1,1,3
"And God saw the light, that it was good; and so he divided the light from the darknesses.",OT,Genesis,1,1,4
"And he called the light, 'Day,' and the darknesses, 'Night.' And it became evening and morning, one day.",OT,Genesis,1,1,5
"God also said, ""Let there be a firmament in the midst of the waters, and let it divide waters from waters.""",OT,Genesis,1,1,6
"And God made a firmament, and he divided the waters that were under the firmament, from those that were above the firmament. And so it became.",OT,Genesis,1,1,7
"And God called the firmament 'Heaven.' And it became evening and morning, the second day.",OT,Genesis,1,1,8
"Truly God said: ""Let the waters that are under heaven be gathered together into one place; and let the dry land appear."" And so it became.",OT,Genesis,1,1,9
"And God called the dry land, 'Earth,' and he called the gathering of the waters, 'Seas.' And God saw that it was good.",OT,Genesis,1,1,10
"And he said, ""Let the land spring forth green plants, both those producing seed, and fruit-bearing trees, producing fruit according to their kind, whose seed is within itself, over all the earth."" And so it became.",OT,Genesis,1,1,11
"And the land brought forth green plants, both those producing seed, according to their kind, and trees producing fruit, with each having its own way of sowing, according to its species. And God saw that it was good.",OT,Genesis,1,1,12
"And it became evening and the morning, the third day.",OT,Genesis,1,1,13
"Then God said: ""Let there be lights in the firmament of heaven. And let them divide day from night, and let them become signs, both of the seasons, and of the days and years.",OT,Genesis,1,1,14
"Let them shine in the firmament of heaven and illuminate the earth."" And so it became.",OT,Genesis,1,1,15
"And God made two great lights: a greater light, to rule over the day, and a lesser light, to rule over the night, along with the stars.",OT,Genesis,1,1,16
"And he set them in the firmament of heaven, to give light over all the earth,",OT,Genesis,1,1,17
"and to rule over the day as well as the night, and to divide light from darkness. And God saw that it was good.",OT,Genesis,1,1,18
"And it became evening and morning, the fourth day.",OT,Genesis,1,1,19
"And then God said, ""Let the waters produce animals with a living soul, and flying creatures above the earth, under the firmament of heaven.""",OT,Genesis,1,1,20
"And God created the great sea creatures, and everything with a living soul and the ability to move that the waters produced, according to their species, and all the flying creatures, according to their kind. And God saw that it was good.",OT,Genesis,1,1,21
"And he blessed them, saying: ""Increase and multiply, and fill the waters of the sea. And let the birds be multiplied above the land.""",OT,Genesis,1,1,22
"And it became evening and morning, the fifth day.",OT,Genesis,1,1,23
"God also said, ""Let the land produce living souls in their kind: cattle, and animals, and wild beasts of the earth, according to their species."" And so it became.",OT,Genesis,1,1,24
"And God made the wild beasts of the earth according to their species, and the cattle, and every animal on the land, according to its kind. And God saw that it was good.",OT,Genesis,1,1,25
"And he said: ""Let us make Man to our image and likeness. And let him rule over the fish of the sea, and the flying creatures of the air, and the wild beasts, and the entire earth, and every animal that moves on the earth.""",OT,Genesis,1,1,26
"And God created man to his own image; to the image of God he created him; male and female, he created them.",OT,Genesis,1,1,27
"And God blessed them, and he said, ""Increase and multiply, and fill the earth, and subdue it, and have dominion over the fish of the sea, and the flying creatures of the air, and over every living thing that moves upon the earth.""",OT,Genesis,1,1,28
"And God said: ""Behold, I have given you every seed-bearing plant upon the earth, and all the trees that have in themselves the ability to sow their own kind, to be food for you,",OT,Genesis,1,1,29
"and for all the animals of the land, and for all the flying things of the air, and for everything that moves upon the earth and in which there is a living soul, so that they may have these on which to feed."" And so it became.",OT,Genesis,1,1,30
"And God saw everything that he had made. And they were very good. And it became evening and morning, the sixth day.",OT,Genesis,1,1,31
"And so the heavens and the earth were completed, with all their adornment.",OT,Genesis,1,2,1
"And on the seventh day, God fulfilled his work, which he had made. And on the seventh day he rested from all his work, which he had accomplished.",OT,Genesis,1,2,2
"And he blessed the seventh day and sanctified it. For in it, he had ceased from all his work: the work whereby God created whatever he should make.",OT,Genesis,1,2,3
"These are the generations of heaven and earth, when they were created, in the day when the Lord God made heaven and earth,",OT,Genesis,1,2,4
"and every sapling of the field, before it would rise up in the land, and every wild plant, before it would germinate. For the Lord God had not brought rain upon the earth, and there was no man to work the land.",OT,Genesis,1,2,5
"But a fountain ascended from the earth, irrigating the entire surface of the land.",OT,Genesis,1,2,6
"And then the Lord God formed man from the clay of the earth, and he breathed into his face the breath of life, and man became a living soul.",OT,Genesis,1,2,7
"Now the Lord God had planted a Paradise of enjoyment from the beginning. In it, he placed the man whom he had formed.",OT,Genesis,1,2,8
"And from the soil the Lord God produced every tree that was beautiful to behold and pleasant to eat. And even the tree of life was in the midst of Paradise, and the tree of the knowledge of good and evil.",OT,Genesis,1,2,9
"And a river went forth from the place of enjoyment so as to irrigate Paradise, which is divided from there into four heads.",OT,Genesis,1,2,10
"The name of one is the Phison; it is that which runs through all the land of Hevilath, where gold is born;",OT,Genesis,1,2,11
and the gold of that land is the finest. In that place is found bdellium and the onyx stone.,OT,Genesis,1,2,12
And the name of the second river is the Gehon; it is that which runs through all the land of Ethiopia.,OT,Genesis,1,2,13
"Truly, the name of the third river is the Tigris; it advances opposite the Assyrians. But the fourth river, it is the Euphrates.",OT,Genesis,1,2,14
"Thus, the Lord God brought the man, and put him into the Paradise of enjoyment, so that it would be attended and preserved by him.",OT,Genesis,1,2,15
"And he instructed him, saying: ""From every tree of Paradise, you shall eat.",OT,Genesis,1,2,16
"But from the tree of the knowledge of good and evil, you shall not eat. For in whatever day you will eat from it, you will die a death.""",OT,Genesis,1,2,17
"The Lord God also said: ""It is not good for the man to be alone. Let us make a helper for him similar to himself.""",OT,Genesis,1,2,18
"Therefore, the Lord God, having formed from the soil all the animals of the earth and all the flying creatures of the air, brought them to Adam, in order to see what he would call them. For whatever Adam would call any living creature, that would be its name.",OT,Genesis,1,2,19
"And Adam called each of the living things by their names: all the flying creatures of the air, and all the wild beasts of the land. Yet truly, for Adam, there was not found a helper similar to himself.",OT,Genesis,1,2,20
"And so the Lord God sent a deep sleep upon Adam. And when he was fast asleep, he took one of his ribs, and he completed it with flesh for it.",OT,Genesis,1,2,21
"And the Lord God built up the rib, which he took from Adam, into a woman. And he led her to Adam.",OT,Genesis,1,2,22
"And Adam said: ""Now this is bone from my bones, and flesh from my flesh. This one shall be called woman, because she was taken from man.""",OT,Genesis,1,2,23
"For this reason, a man shall leave behind his father and mother, and he shall cling to his wife; and the two shall be as one flesh.",OT,Genesis,1,2,24
"Now they were both naked: Adam, of course, and his wife. And they were not ashamed.",OT,Genesis,1,2,25
"However, the serpent was more crafty than any of the creatures of the earth that the Lord God had made. And he said to the woman, ""Why has God instructed you, that you should not eat from every tree of Paradise?""",OT,Genesis,1,3,1
"The woman responded to him: ""From the fruit of the trees which are in Paradise, we eat.",OT,Genesis,1,3,2
"Yet truly, from the fruit of the tree which is in the middle of Paradise, God has instructed us that we should not eat, and that we should not touch it, lest perhaps we may die.""",OT,Genesis,1,3,3
"Then the serpent said to the woman: ""By no means will you die a death.",OT,Genesis,1,3,4
"For God knows that, on whatever day you will eat from it, your eyes will be opened; and you will be like gods, knowing good and evil.""",OT,Genesis,1,3,5
